Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #7	Run #7	Run #7	Run #7	Run #8	Run #8	Run #8	Run #8	Run #9	Run #9	Run #9	Run #9	Run #10	Run #10	Run #10	Run #10	Run #11	Run #11	Run #11	Run #11	Run #12	Run #12	Run #12	Run #12	Run #13	Run #13	Run #13	Run #13	Run #14	Run #14	Run #14	Run #14	Run #15	Run #15	Run #15	Run #15	Run #16	Run #16	Run #16	Run #16	Run #17	Run #17	Run #17	Run #17	Run #18	Run #18	Run #18	Run #18
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.650	1.397	0.00	0.2	0.650	0.270	-0.03	0.6	0.650	0.842	3.39	10.4	0.650	0.676	2.90	9.8	0.650	0.782	3.31	8.2	0.650	0.848	2.68	10.3	0.650	0.867	3.45	10.7	0.650	0.250	1.40	9.7	0.650	0.290	1.33	9.5	0.650	0.443	2.15	9.5	0.650	0.640	3.02	10.7	0.650	0.324	1.61	9.4	0.650	0.347	1.83	9.5	0.650	0.145	0.03	0.0
0.675	1.398	0.00	0.1	0.675	0.269	-0.03	0.3	0.675	0.930	3.67	16.2	0.675	0.753	3.11	8.1	0.675	0.866	3.53	9.6	0.675	0.936	3.63	30.0	0.675	0.957	3.79	20.6	0.675	0.288	1.65	9.9	0.675	0.327	1.57	9.2	0.675	0.499	2.39	9.5	0.675	0.720	3.26	8.5	0.675	0.367	1.84	9.4	0.675	0.396	2.07	9.6	0.675	0.146	0.03	0.2
0.700	1.397	0.00	0.0	0.700	0.268	-0.02	0.5	0.700	1.025	4.20	-27.3	0.700	0.831	3.31	9.7	0.700	0.958	3.79	20.1	0.700	1.030	4.18	-27.3	0.700	1.056	4.48	-53.3	0.700	0.332	1.90	9.5	0.700	0.369	1.80	9.3	0.700	0.562	2.62	10.6	0.700	0.803	3.44	8.5	0.700	0.416	2.08	9.8	0.700	0.451	2.31	9.8	0.700	0.147	0.04	2.3
0.725	1.398	-5.59E-4	0.1	0.725	0.268	0.00	0.5	0.725	1.140	2.30	-117.5	0.725	0.918	3.59	15.9	0.725	1.056	4.53	-51.7	0.725	1.145	2.27	-118.0	0.725	1.181	1.12	-150.1	0.725	0.383	2.12	9.2	0.725	0.416	2.04	9.8	0.725	0.630	2.91	10.9	0.725	0.892	3.69	12.3	0.725	0.471	2.33	9.8	0.725	0.511	2.56	9.7	0.725	0.148	0.15	6.2
0.750	1.397	0.00	-0.1	0.750	0.268	0.01	0.2	0.750	1.140	-1.67	-110.3	0.750	1.011	4.10	-15.5	0.750	1.185	1.20	-151.8	0.750	1.143	-1.72	-110.5	0.750	1.112	-3.03	-86.2	0.750	0.438	2.36	9.7	0.750	0.471	2.29	9.7	0.750	0.708	3.17	7.5	0.750	0.988	4.06	2.0	0.750	0.533	2.57	9.5	0.750	0.578	2.79	10.5	0.750	0.154	0.35	8.8
0.775	1.398	0.00	-0.2	0.775	0.268	0.01	0.1	0.775	1.057	-3.22	-26.7	0.775	1.123	2.82	-104.5	0.775	1.116	-3.06	-88.6	0.775	1.059	-3.26	-26.1	0.775	1.030	-3.19	1.7	0.775	0.501	2.61	11.2	0.775	0.531	2.52	10.3	0.775	0.789	3.29	6.9	0.775	1.095	3.79	-84.5	0.775	0.600	2.81	10.4	0.775	0.651	3.08	10.5	0.775	0.166	0.59	9.6
0.800	1.397	-0.01	0.3	0.800	0.268	0.01	0.3	0.800	0.980	-3.00	9.0	0.800	1.151	-1.12	-121.7	0.800	1.032	-3.23	1.1	0.800	0.980	-3.02	10.1	0.800	0.953	-2.95	10.1	0.800	0.569	2.92	11.0	0.800	0.596	2.80	10.9	0.800	0.872	3.51	11.5	0.800	1.177	-0.17	-145.0	0.800	0.673	3.09	9.4	0.800	0.733	3.32	8.4	0.800	0.184	0.84	9.8
0.825	1.397	0.01	0.4	0.825	0.269	0.02	0.1	0.825	0.907	-2.77	11.5	0.825	1.067	-3.27	-37.5	0.825	0.955	-3.00	10.5	0.825	0.908	-2.75	11.4	0.825	0.883	-2.68	9.9	0.825	0.646	3.16	8.8	0.825	0.671	3.06	8.5	0.825	0.964	3.87	18.3	0.825	1.086	-3.46	-60.1	0.825	0.755	3.28	8.3	0.825	0.817	3.50	8.5	0.825	0.207	1.08	9.7
0.850	1.398	0.02	-0.2	0.850	0.269	0.02	-0.2	0.850	0.841	-2.43	11.0	0.850	0.988	-3.00	11.0	0.850	0.882	-2.70	11.0	0.850	0.843	-2.45	10.4	0.850	0.819	-2.45	8.8	0.850	0.727	3.36	8.6	0.850	0.750	3.23	7.8	0.850	1.066	4.43	-62.3	0.850	1.004	-3.17	10.9	0.850	0.837	3.51	10.8	0.850	0.908	3.75	13.9	0.850	0.238	1.32	9.7
0.875	1.398	0.00	-0.6	0.875	0.270	0.01	-0.2	0.875	0.785	-2.21	7.9	0.875	0.917	-2.72	10.7	0.875	0.820	-2.45	8.6	0.875	0.785	-2.23	8.5	0.875	0.760	-2.24	9.3	0.875	0.814	3.58	9.1	0.875	0.832	3.45	9.8	0.875	1.186	0.76	-154.0	0.875	0.928	-2.92	10.3	0.875	0.930	3.82	17.2	0.875	1.005	4.20	-13.9	0.875	0.273	1.57	9.7
