Run #4,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #5,Run #7,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8,Run #8,Run #9,Run #9,Run #9,Run #9,Run #10,Run #10,Run #10,Run #10,Run #11,Run #11,Run #11,Run #11,Run #12,Run #12,Run #12,Run #12,Run #13,Run #13,Run #13,Run #13,Run #14,Run #14,Run #14,Run #14,Run #15,Run #15,Run #15,Run #15,Run #16,Run #16,Run #16,Run #16,Run #17,Run #17,Run #17,Run #17,Run #18,Run #18,Run #18,Run #18
Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2),Time (s),Position (m),Velocity (m/s),Acceleration (m/s^2)
0.525,1.397,0,0.2,0.525,0.277,-0.08,1.8,0.525,0.494,2.19,9.7,0.525,0.392,1.68,8.7,0.525,0.441,2.1,9.7,0.525,0.493,2.21,11.2,0.525,0.504,2.31,9.6,0.525,0.149,0.21,8.4,0.525,0.198,0.15,7.9,0.525,0.249,0.95,9.4,0.525,0.344,1.79,9.5,0.525,0.196,0.43,9.9,0.525,0.193,0.64,9,0.525,0.143,-0.01,0.5
0.55,1.397,0.01,0.2,0.55,0.276,-0.05,0.2,0.55,0.552,2.43,9.4,0.55,0.436,1.9,10,0.55,0.497,2.35,9.5,0.55,0.551,2.48,12.2,0.55,0.565,2.55,9.4,0.55,0.157,0.46,9.7,0.55,0.205,0.38,9.4,0.55,0.276,1.19,9.5,0.55,0.392,2.01,9.1,0.55,0.21,0.68,9.5,0.55,0.212,0.87,9.6,0.55,0.143,-5.74E-05,0.2
0.575,1.398,0.01,-0.1,0.575,0.274,-0.07,-0.6,0.575,0.615,2.66,9.5,0.575,0.487,2.18,9.9,0.575,0.559,2.58,9.9,0.575,0.617,2.82,24.3,0.575,0.631,2.78,10.5,0.575,0.172,0.7,9.4,0.575,0.217,0.62,9.6,0.575,0.308,1.43,9.6,0.575,0.444,2.24,9.6,0.575,0.23,0.9,9.1,0.575,0.237,1.11,9.7,0.575,0.143,0,0.3
0.6,1.398,0,-0.4,0.6,0.272,-0.08,0.3,0.6,0.685,2.9,9.6,0.6,0.545,2.4,8.8,0.6,0.626,2.84,10.7,0.6,0.692,3.7,5.9,0.6,0.704,3.07,9.5,0.6,0.192,0.93,9.3,0.6,0.235,0.86,9.6,0.6,0.347,1.67,9.7,0.6,0.504,2.49,9.7,0.6,0.255,1.13,9.4,0.6,0.268,1.36,9.6,0.6,0.144,0.02,0.6
0.625,1.398,-0.01,-0.1,0.625,0.27,-0.06,0.9,0.625,0.76,3.15,9.9,0.625,0.607,2.62,10.1,0.625,0.701,3.12,9.4,0.625,0.802,3.12,-20.3,0.625,0.785,3.26,7.5,0.625,0.218,1.16,9.5,0.625,0.26,1.1,9.5,0.625,0.392,1.91,9.5,0.625,0.569,2.73,10.5,0.625,0.287,1.37,9.7,0.625,0.304,1.59,9.5,0.625,0.144,0.03,0.3
0.65,1.397,0,0.2,0.65,0.27,-0.03,0.6,0.65,0.842,3.39,10.4,0.65,0.676,2.9,9.8,0.65,0.782,3.31,8.2,0.65,0.848,2.68,10.3,0.65,0.867,3.45,10.7,0.65,0.25,1.4,9.7,0.65,0.29,1.33,9.5,0.65,0.443,2.15,9.5,0.65,0.64,3.02,10.7,0.65,0.324,1.61,9.4,0.65,0.347,1.83,9.5,0.65,0.145,0.03,0
0.675,1.398,0,0.1,0.675,0.269,-0.03,0.3,0.675,0.93,3.67,16.2,0.675,0.753,3.11,8.1,0.675,0.866,3.53,9.6,0.675,0.936,3.63,30,0.675,0.957,3.79,20.6,0.675,0.288,1.65,9.9,0.675,0.327,1.57,9.2,0.675,0.499,2.39,9.5,0.675,0.72,3.26,8.5,0.675,0.367,1.84,9.4,0.675,0.396,2.07,9.6,0.675,0.146,0.03,0.2
0.7,1.397,0,0,0.7,0.268,-0.02,0.5,0.7,1.025,4.2,-27.3,0.7,0.831,3.31,9.7,0.7,0.958,3.79,20.1,0.7,1.03,4.18,-27.3,0.7,1.056,4.48,-53.3,0.7,0.332,1.9,9.5,0.7,0.369,1.8,9.3,0.7,0.562,2.62,10.6,0.7,0.803,3.44,8.5,0.7,0.416,2.08,9.8,0.7,0.451,2.31,9.8,0.7,0.147,0.04,2.3
0.725,1.398,-5.59E-04,0.1,0.725,0.268,0,0.5,0.725,1.14,2.3,-117.5,0.725,0.918,3.59,15.9,0.725,1.056,4.53,-51.7,0.725,1.145,2.27,-118,0.725,1.181,1.12,-150.1,0.725,0.383,2.12,9.2,0.725,0.416,2.04,9.8,0.725,0.63,2.91,10.9,0.725,0.892,3.69,12.3,0.725,0.471,2.33,9.8,0.725,0.511,2.56,9.7,0.725,0.148,0.15,6.2
0.75,1.397,0,-0.1,0.75,0.268,0.01,0.2,0.75,1.14,-1.67,-110.3,0.75,1.011,4.1,-15.5,0.75,1.185,1.2,-151.8,0.75,1.143,-1.72,-110.5,0.75,1.112,-3.03,-86.2,0.75,0.438,2.36,9.7,0.75,0.471,2.29,9.7,0.75,0.708,3.17,7.5,0.75,0.988,4.06,2,0.75,0.533,2.57,9.5,0.75,0.578,2.79,10.5,0.75,0.154,0.35,8.8
